feature	S1A	S1B	S2A	S2B	S3A	S3B	S4A	S4B	S5A	S5B	S6A	S6B
K04027	34.6	58.35	44.1	35.25	13.475	9.625	0.875	25.4	74.05	102.825	79.725	61.85
K04028	36.2	65.55	65.3	62.25	16.875	15.825	1.675	27	94.85	210.425	112.525	81.45
K04029	37.8666666666667	73.6333333333333	67.1333333333333	68.0833333333333	16.875	15.45	1.675	27	65.6	210.425	112.525	81.45
K04030	36.2	65.55	65.3	62.25	16.875	15.825	1.675	27	94.85	210.425	112.525	81.45
K04031	38.8666666666667	73.8833333333333	67.1333333333333	68.0833333333333	16.875	15.825	1.675	27	94.85	210.425	112.525	81.45
K04032	32.2	61.55	59.3	61	7.5	14.575	0.8	27	93.85	209.8	111.4	77.2
K04033	1.63333333333333	0.25	0	0.416666666666667	0	0.675	36	0	439.883333333333	494.266666666667	0	0
K04034	0.444444444444444	0.333333333333333	0	0.555555555555555	0	0	0	0	0.222222222222222	0	0	0
K04035	1.77777777777778	1.33333333333333	0	2.22222222222222	0	0	0	0	0.888888888888889	0	0	0
K04036	1.77777777777778	1.33333333333333	0	2.22222222222222	0	0	0	0	0.888888888888889	0	0	0
K04037	1.77777777777778	1.33333333333333	0	2.22222222222222	0	0	0	0	0.888888888888889	0	0	0
K04038	1.77777777777778	1.33333333333333	0	2.22222222222222	0	0	0	0	0.888888888888889	0	0	0
K04039	1.77777777777778	1.33333333333333	0	2.22222222222222	0	0	0	0	0.888888888888889	0	0	0
K04040	1.77777777777778	1.33333333333333	0	2.22222222222222	0	0	0	0	0.888888888888889	0	0	0
K04041	2577.225	2583.18333333333	1880.51666666667	3353.41666666667	3762.87777777778	1911.88333333333	811.425	1055.76666666667	806.283333333333	1406.73333333333	1409.35	2241.43333333333
K04042	6412.08452380952	6162.6053030303	5285.48387445887	5991.67893217893	5931.4369047619	7859.08571428571	11001.4392857143	3533.41111111111	7627.69365079365	7832.00079365079	4543.44166666667	7747.67579365079
K04043	7700.44007936508	6899.71919191919	6221.92831890332	7484.04004329004	8655.27023809524	12371.4746031746	17756.3337301587	42584.9527777778	7892.74920634921	8963.83412698413	5420.10833333333	9051.45357142857
K04044	56.7761904761905	28.4166666666667	171.803571428571	936.339285714286	122.220238095238	185.377380952381	8609.50595238095	84.75	3587.45476190476	4347.2369047619	1040.29166666667	4345.7619047619
K04045	25.5428571428571	13.7064935064935	30.8136363636364	42.9090909090909	7.4	24.3928571428571	69.8	3.975	374.35	159.789285714286	50.675	57.85
K04046	14.8992063492063	6.65476190476191	0	10.5555555555556	0	3.74642857142857	891.8	0	3464.13888888889	1211.31547619048	0	0
K04047	7640.02341269841	6914.54393939394	6256.68084415584	7447.6158008658	10262.323015873	9366.81071428571	23177.980952381	78485.0444444444	6344.2380952381	6789.63412698413	5116.60833333333	6580.75912698413
K04058	1.21666666666667	0	0	0.833333333333333	0	0.55	0	0	906.3	1039.18333333333	0	0
K04061	14.5916666666667	8.375	8.75	13.3333333333333	4.06944444444444	22.3	0	6	3003.25	1131.58333333333	20.75	40.8333333333333
K04062	14.0714285714286	1.82142857142857	5.25	16.6666666666667	1	8.52976190476191	514	4.75	36.8333333333333	8.14880952380952	74.6666666666667	169.25
K04063	1.88333333333333	3.93333333333333	4	1.66666666666667	0.4	1.95	6177.13333333333	37526.1	3007.83333333333	1122.58333333333	0	0
K04064	5.32142857142857	1.82142857142857	0	0	0	1.94642857142857	18	0	29.25	0.982142857142857	0	0
K04065	16.8714285714286	10.1547619047619	3.66666666666667	19.1666666666667	1	2.49642857142857	76.2	33	3029.08333333333	1136.89880952381	9	20.6666666666667
