"Pathway"	"S1A"	"S1B"	"S2A"	"S2B"	"S3A"	"S3B"	"S4A"	"S4B"	"S5A"	"S5B"	"S6A"	"S6B"
"ko00590"	4618.63095238095	3980.92514430014	3070.13308080808	7375.24242424242	8694.50277777778	8681.93650793651	42204.6611111111	40227.3	13665.0611111111	9827.57976190476	3902.10833333333	10655.9527777778
"ko00591"	62.0476190476191	42.2976190476191	68.6666666666667	557.083333333333	24.75	45.8392857142857	23150.0333333333	37553.0833333333	1685.08333333333	1807.02976190476	308.5	2785.16666666667
"ko00592"	66.7809523809524	44.8612554112554	69.655303030303	559.659090909091	26.8694444444444	51.9142857142857	23909.05	37981.8833333333	5993.18333333333	4013.89642857143	308.5	2787.125
"ko00600"	11933.0781746032	10773.5779220779	8075.97196969697	16784.3118686869	19882.2694444444	13727.7170634921	16377.8416666667	80225.0861111111	5867.225	8850.72698412698	7367.65833333333	12165.3722222222
"ko00603"	6283.92619047619	6204.92619047619	3810.99166666667	9904.70833333333	9994.75277777778	5830.62896825397	9129.68333333333	39977.3	2024.84166666667	3810.02261904762	3849.66666666667	6584.35
"ko00604"	2544.75476190476	2601.3130952381	1505.08333333333	5975	5739.54166666667	3495.1130952381	7057.14166666667	38461.625	963.416666666667	1919.19047619048	2119.79166666667	3847.16666666667
"ko00620"	148472.964285714	141096.037698413	116980.599206349	161791.994047619	161903.56031746	198328.349206349	520398.55515873	947104.819444444	259227.311904762	217699.229365079	112223.325	207055.129761905
"ko00621"	4577.80476190476	3934.0183982684	3367.9053030303	3615.25631313131	4805.76666666667	7210.71309523809	8749.75	40864.6861111111	10909.6138888889	6238.09603174603	2447.53333333333	6025.55555555556
"ko00622"	6298.47142857143	4835.59567099567	4817.46590909091	4102.88005050505	7468.16666666667	11632.3853174603	44647.1166666667	42915.5388888889	20793.0361111111	7529.99325396825	3134.90833333333	6776.27777777778
"ko00623"	18.7547619047619	16.4547619047619	1.83333333333333	17.5	1.2	8.24642857142857	27610.7666666667	459.1	10348.65	3337.28214285714	0	0
"ko00624"	29.3611111111111	17.1333333333333	0	32.6388888888889	1.2	9.45	1623.73333333333	134	7547.28888888889	2904.88333333333	0	0
