OTU,X16S_K0010A2.S1.L001,X16S_K0011C1.S2.L001,X16S_K0011C2.S3.L001,X16S_K0033C1.S4.L001,X16S_K0033C2.S5.L001,X16S_K0145B1.S6.L001,X16S_K0147C2.S7.L001,X16S_K0148A1.S8.L001,X16S_K0154C1.S9.L001,X16S_K0154C2.S10.L001,X16S_K0191C1.S11.L001,X16S_K0192B2.S12.L001,X16S_K0192C1.S13.L001,X16S_K0195C1.S14.L001
forward_16S_94,1.5,0.6,0.3,0.0,2.3,0.0,1.4,0.0,1.1,0.0,0.9,0.9,19.8,0.0
forward_16S_95,1.3,1.0,2.2,2.9,0.0,0.0,3.1,0.7,0.5,0.0,0.0,0.0,0.0,1.2
forward_16S_96,0.2,0.0,2.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,1.8,1.2,6.4,0.0
forward_16S_97,0.0,5.9,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,0.0,0.0,0.0,11.9
forward_16S_98,3.0,0.0,0.0,0.0,2.1,0.0,1.3,0.0,0.0,0.0,0.0,16.0,0.0,0.0
forward_16S_99,0.0,0.8,0.0,2.8,0.0,0.0,4.2,0.9,0.0,0.0,0.0,0.0,0.0,3.2
forward_16S_100,2.7,0.6,2.2,2.2,0.2,0.0,2.0,0.1,0.0,0.9,0.8,0.8,2.2,0.0
forward_16S_101,1.2,0.4,1.3,5.9,0.0,0.0,2.7,0.5,1.2,2.0,0.8,0.0,0.0,1.8
forward_16S_102,0.6,0.0,0.8,0.5,5.0,1.7,0.3,0.0,0.6,0.0,0.6,1.9,0.0,0.0
forward_16S_103,0.5,0.5,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,4.4,0.0
forward_16S_104,5.2,0.0,4.1,0.8,0.0,0.0,0.0,0.0,0.7,0.0,5.6,0.0,5.1,0.9
forward_16S_105,1.9,0.7,0.0,0.7,0.0,0.2,0.5,6.1,0.9,8.1,1.6,0.9,0.0,0.0
forward_16S_106,1.3,2.8,2.4,1.4,0.0,0.0,1.3,0.0,2.2,4.6,2.3,0.0,0.5,0.0
forward_16S_107,1.3,3.2,5.9,0.0,0.0,0.0,0.0,0.0,5.3,6.4,0.0,0.0,0.0,1.2
forward_16S_108,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_109,0.0,0.0,0.0,0.0,7.7,0.0,1.2,0.0,0.0,0.0,0.0,2.9,0.0,0.0
forward_16S_110,2.2,0.0,0.3,0.2,0.4,0.0,1.1,0.0,0.5,0.0,0.8,2.4,16.8,0.7
forward_16S_111,0.0,7.5,0.0,0.0,0.0,0.0,0.1,9.2,0.0,0.0,0.0,0.0,0.0,4.9
forward_16S_112,0.0,0.0,0.8,0.4,5.2,0.0,0.7,0.0,0.7,0.0,0.0,7.0,1.0,0.0
forward_16S_113,2.3,0.5,4.1,0.6,0.0,0.0,1.1,0.0,2.8,0.8,0.0,0.0,3.6,0.0
forward_16S_114,1.9,0.0,7.9,0.0,0.0,0.0,0.3,0.0,1.2,1.0,1.8,0.0,1.6,0.0
forward_16S_115,0.8,0.8,0.0,0.0,0.1,0.0,0.1,4.1,0.0,4.3,0.0,0.0,0.0,14.1
forward_16S_116,0.5,2.6,0.0,0.0,0.0,0.0,0.2,9.3,4.9,0.9,0.9,0.0,0.0,1.7
forward_16S_117,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,40.8,0.6,0.0,0.0,0.0
forward_16S_118,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.7
forward_16S_119,0.1,0.0,0.0,0.1,4.8,2.7,0.0,0.2,0.0,0.0,0.9,1.4,0.0,1.8
forward_16S_120,0.5,6.3,0.0,0.0,0.0,0.4,0.6,1.9,3.7,1.0,0.0,0.0,0.8,1.4
forward_16S_121,0.0,0.0,0.0,0.0,0.0,0.6,0.0,9.3,0.0,0.0,0.0,0.9,0.0,6.4
forward_16S_122,2.3,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.7,2.0,3.1,2.6,0.8,0.0
forward_16S_123,0.6,0.5,1.6,0.1,0.0,0.0,2.9,0.0,0.9,0.0,0.0,0.0,1.3,1.5
forward_16S_124,0.4,2.4,1.0,1.7,0.0,0.0,0.7,0.8,2.5,3.5,3.0,0.0,0.0,1.6
forward_16S_125,0.0,3.2,0.0,0.2,0.0,0.0,0.1,4.0,0.5,11.3,0.0,0.0,0.0,2.2
forward_16S_126,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forward_16S_127,4.1,1.9,0.0,0.5,0.0,0.0,0.0,1.3,6.8,3.8,0.0,0.0,0.0,2.8
forward_16S_128,0.5,0.5,0.0,0.0,0.0,0.2,0.0,4.6,1.1,0.0,0.0,0.0,1.4,12.5
forward_16S_129,0.4,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.7,0.9,0.0,0.0,1.2,0.0
forward_16S_130,0.2,0.0,0.0,0.0,0.0,0.0,0.2,6.3,8.6,0.0,0.0,0.0,0.0,0.0
forward_16S_131,9.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0
forward_16S_132,2.8,0.0,0.4,0.3,2.0,0.0,0.1,0.0,0.9,0.0,5.2,0.0,3.1,0.0
forward_16S_133,2.7,2.0,1.0,0.7,0.0,0.0,0.8,0.7,2.2,3.4,1.5,0.0,1.6,0.5
forward_16S_134,2.0,0.0,0.6,3.3,0.2,0.0,0.6,1.4,3.5,1.8,1.5,0.0,1.6,1.2
forward_16S_135,1.2,0.4,0.0,1.1,0.5,0.0,3.4,0.0,1.8,0.0,1.7,2.2,0.0,0.0
forward_16S_136,0.7,0.0,0.0,0.0,6.5,0.0,0.3,0.0,0.0,0.0,0.8,0.7,2.9,0.0
forward_16S_137,0.4,0.4,1.6,0.0,2.9,1.1,0.1,0.0,0.0,0.8,0.0,2.9,0.0,0.0
forward_16S_138,0.5,3.0,0.0,0.0,0.0,0.0,0.3,6.0,5.8,0.0,0.0,0.0,0.0,0.0
forward_16S_139,0.1,0.4,0.0,0.2,0.0,0.5,0.0,8.2,0.3,6.1,0.8,1.6,0.0,1.2
forward_16S_140,0.0,0.0,0.0,0.0,5.6,0.1,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
forward_16S_141,0.0,0.0,0.0,0.0,4.8,0.0,0.7,0.0,0.0,0.0,0.0,5.8,0.0,0.0
forward_16S_142,2.0,0.0,0.2,0.3,0.0,0.0,2.3,0.0,0.3,0.0,0.9,0.0,6.4,0.6
forward_16S_143,0.3,3.7,0.6,1.2,0.1,0.0,1.9,0.0,1.2,0.9,0.0,0.0,1.4,2.2
