"feature"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"K02172"	0.142857142857143	0	0.0909090909090909	0.142857142857143	0.0833333333333333	0.380952380952381	2.99729437229437	4.12698412698413	5.52380952380952	0.714285714285714	2.78787878787879	0.25	0.214285714285714	4.80952380952381
"K02173"	0	0	0	0	0.142857142857143	0	0	0	0	0.166666666666667	0	0	0	0
"K02182"	829.47803030303	453.910227272727	721.577777777778	674.631439393939	1122.08928571429	1748.64107142857	1009.09908008658	100.996933621934	493.132215007215	609.164393939394	1014.55416666667	1126.2	882.5	276.984523809524
"K02188"	453.209812409812	456.544047619048	472.069227994228	246.20303030303	267.34816017316	182.185461760462	243.348316498317	237.2806998557	328.491378066378	484.280555555556	418.034343434343	404.01645021645	163.446158008658	276.426226551227
"K02189"	597.849494949495	666.383928571429	632.911688311688	456.890999278499	441.74696969697	421.081096681097	351.380297017797	287.983838383838	472.175937950938	748.757936507937	634.752398989899	583.130339105339	352.719967532468	486.441702741703
"K02190"	0.125	0.375	0	0.5	0.660714285714286	1	1.25	8.375	3.375	0.166666666666667	1.69318181818182	0	0	0
"K02191"	258.625	13.875	310.5	17	192.017857142857	33	52.75	8.375	69.875	71.1666666666667	220.693181818182	279.75	77.5	12.5
"K02192"	421.160317460317	1107.70436507937	212.206349206349	249.00753968254	387.380555555556	519.845436507936	175.639682539683	1804.88293650794	1155.81865079365	1149.64246031746	448.191666666667	468.444444444444	154.827777777778	532.971428571429
"K02193"	689.604834054834	661.634884559885	644.600541125541	872.685317460317	766.929112554113	1083.74141414141	692.453318903319	215.503607503607	509.074711399711	865.091666666667	1050.20732323232	970.357323232323	563.638636363636	492.33455988456
"K02194"	766.021500721501	864.739051226551	706.183874458874	1069.30337301587	819.123556998557	1198.49141414141	816.849152236652	308.378607503607	612.630266955267	1276.71666666667	1183.18648989899	1077.98232323232	651.47196969697	564.08455988456
"K02195"	1404.9715007215	885.739051226551	1169.18387445887	1445.30337301587	1711.96522366522	1794.80808080808	1084.07415223665	327.178607503608	728.630266955267	1333.71666666667	1987.63648989899	2034.39898989899	964.805303030303	641.58455988456
"K02196"	279.148484848485	301.757503607504	271.388636363636	346.222222222222	523.062842712843	776.536652236652	197.294191919192	122.195670995671	237.514393939394	329.111507936508	457.751767676768	572.482323232323	248.255303030303	291.294083694084
"K02197"	1412.81443001443	881.370364357864	1170.65862193362	1447.74781746032	1654.08719336219	1707.38838383838	1086.54612193362	327.080627705628	733.014105339105	1342.82777777778	1987.02992424242	2005.25909090909	955.502272727273	625.008802308802
"K02198"	1331.1715007215	852.439051226551	1129.20887445887	1361.27003968254	1658.39022366522	1708.71363636364	1003.88248556999	325.545274170274	726.430266955267	1257.775	1860.91148989899	1988.03232323232	932.130303030303	605.167893217893
"K02199"	473.643722943723	560.064051226551	456.708874458874	639.089484126984	681.983477633478	967.991414141414	387.382485569986	199.295274170274	443.735822510823	717.858333333333	767.383712121212	885.393434343434	448.130303030303	447.001226551227
"K02200"	1037.43189033189	1075.09774531025	972.398304473305	1311.13591269841	1417.84473304473	2055.45663780664	956.308026695527	374.013961038961	796.271645021645	1355.97380952381	1604.86047979798	1690.83845598846	934.543939393939	885.726262626263
