"Pathway"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"	"S7"	"S8"	"S9"	"S10"	"S11"	"S12"	"S13"	"S14"
"ko00261"	20578.1946608947	21725.6333152958	16561.7360209235	18820.2307900433	20534.5874458874	20928.3158189033	14427.4746212121	23291.9674062049	21214.7603715729	26391.153030303	26194.7993686869	24714.9827200577	11521.7609126984	11490.4611471861
"ko00270"	71904.6927128427	73190.4246031746	57077.1534271284	61096.026461039	70763.048015873	67978.6621031746	47059.983519721	83319.6330988456	74430.3315836941	90143.952994228	90454.3774170274	85878.1063492064	39834.1713744589	37458.5611111111
"ko00280"	59548.330988456	73706.985966811	49286.0550865801	57778.7648809524	57416.9305194805	62809.7973845599	47106.6163961039	71288.0291486292	66309.4612373737	84066.8544011544	75707.9074675325	69350.8482683983	37971.3011544012	36730.2427489177
"ko00281"	8825.61843434343	11462.0088744589	7540.44291125541	8929.3492965368	8658.1968975469	11076.6645562771	8016.45031866282	10174.7710678211	10419.017965368	13049.8217532468	11207.8723665224	10223.7903679654	6160.48652597403	6055.9395021645
"ko00290"	37320.741955267	43922.8802849928	31514.462950938	34463.3715548341	36243.2155844156	36222.4132034632	26492.7680555556	41828.4353896104	38556.5610750361	49658.0261183261	46794.7675505051	44542.6420995671	21980.192478355	21130.3376262626
"ko00300"	32621.8143939394	36942.795959596	26756.4771464646	30269.6131854257	31358.8133116883	30859.8464466089	23098.0070406445	37282.3269300144	34392.7745310245	44676.7867604618	41092.8689393939	38716.7199134199	18109.9316197691	18747.1946969697
"ko00310"	25782.8148629149	35221.7016414141	21689.9196789322	25574.4353715729	24894.1028860029	30540.2733225108	20767.8371993747	33882.1996392496	32146.2978174603	40527.7718253968	32516.2826298701	29823.4984487735	16707.4573232323	17862.0852453102
"ko00311"	4018.52965367965	3910.87546897547	3188.20524891775	4096.36246392496	3919.83784271284	3465.28665223665	3065.31466450216	3457.87824675325	3447.43906926407	5077.93423520924	5627.10429292929	4900.8977994228	2271.4012987013	1861.73416305916
"ko00330"	49728.0557359307	55346.6337301587	39135.4591630592	45139.3303030303	46651.9691197691	48916.4891594517	37285.5562530063	62496.9492965368	55062.1544372294	66881.5958513708	62530.5007936508	55783.6403679654	30660.6901875902	30018.9652958153
"ko00331"	0	0	0.666666666666667	0	0.666666666666667	0	0	0	0	0	0	0	0	1.33333333333333
"ko00332"	2278.84989177489	4516.38416305916	1793.43971861472	2740.07182539683	2027.30227272727	2887.58044733045	2041.39068061568	4792.70916305916	3960.00328282828	5224.10916305916	3006.10580808081	2639.74044011544	1462.65081168831	2107.22626262626
"ko00340"	34658.9445165945	42710.2780122655	26892.5950937951	31382.4306277056	31571.8282467532	32258.872492785	25156.7691077441	50875.3968975469	42604.0288780664	50956.3102453102	42905.185479798	38367.3848124098	19109.13001443	21812.2351370851
"ko00350"	31110.4665945166	38465.4513167388	25597.2466089466	28286.4314935065	28890.2268037518	28894.3948593074	20836.3906806157	37305.0098665224	34052.1601551227	42775.3814935065	38392.5509920635	35396.1191197691	18266.1182720058	18576.3625541126
"ko00360"	40866.6700937951	58701.986002886	32370.8058261183	39865.3915223665	34898.5617243867	40083.7728354978	33266.1306277056	62176.0499278499	53909.8342893218	67061.1524531024	50003.4623737374	42677.4611832612	25941.8497835498	27526.5407287157
"ko00361"	11078.987987013	13972.8380772006	9470.35178571429	9956.04926046176	10170.9039321789	10418.783495671	7524.58343554594	12442.7337301587	12174.1231782107	14862.6355339105	13360.4657828283	12377.5367604618	6846.12193362193	6181.9733044733
"ko00362"	42749.0840909091	58710.4182178932	34663.7986111111	38835.3983405483	39498.8401875902	45079.6294733045	31837.5087662338	60708.3451118326	54348.6485750361	62438.2158730159	51369.4417748918	47991.7075757576	28078.27252886	27606.793975469
"ko00363"	65.25	81.6222222222222	75.2888888888889	66.2722222222222	104.834920634921	167.672420634921	46.0694444444444	17.6555555555556	63.0222222222222	92.5333333333333	92.9083333333333	135.802777777778	100.066666666667	41.4738095238095
"ko00364"	6004.04433621934	9117.80643939394	5158.02974386724	5317.16204906205	4990.34383116883	5564.58351370851	3949.54628427128	8331.55295815296	7689.29375901876	9421.06785714286	6901.45012626263	6388.58564213564	3633.64045815296	4030.63704906205
"ko00365"	364.224242424242	461.765277777778	521.172727272727	349.834722222222	681.167135642136	1302.11435786436	224.420328282828	47.9679292929293	360.860606060606	511.3	474.428661616162	676.975685425685	592.581818181818	269.802597402597
"ko00380"	34882.9716450216	46272.5599747475	27858.9217171717	33372.7124098124	33406.1545093795	38887.8533189033	26883.7813011063	50133.8823051948	44326.7430555556	52821.8960678211	44224.0459054834	39699.1763708514	22691.5678391053	23025.0690836941
"ko00400"	45970.403968254	51529.4170093795	36847.4470959596	41602.8012265512	44078.2722582973	43647.8944805195	31634.9781144781	54141.7161075036	48720.3186147186	62590.9990981241	57922.7839646465	54834.1878427128	24786.7650613276	25838.063997114
"ko00401"	9584.81424963925	11365.8522727273	7412.03073593074	8413.82132034632	8786.10995670996	8488.0295995671	6121.49642857143	13019.19745671	11015.290007215	13678.9090548341	12113.0146464646	11064.1398268398	5006.05910894661	5365.83066378066
