phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Planctomycetes	Planctomycetia	Planctomycetales	Gemmataceae	Gemmata	Gemmata sp. SD2-6	2.9	0	2.6	2.1	1.3	1.4	21.5	0.1	0.7	1.7	2.6	0.4	4.4	0.8
Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas sp. upc31	0	0	0	0	0.6	0	0	0.4	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Quadrisphaera sp. I12A-00148	0.1	3.8	2.7	1	0	0	0.3	0.5	2.3	2.5	0	0	0	0.4
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodovibrio	unclassified	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azomonas	Azomonas sp. SYC22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] hungatei	0	0.3	0	0.3	5	9.1	0	0	0	0	0	0	0	1.3
Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia sp. Lor46	0	0	0.3	0	0	0	0	0.3	0	0	0	0	0	0
Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas ruminantium	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Oxalophagus	Oxalophagus oxalicus	0.3	0	0.3	0.2	0.2	0	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flaviaesturariibacter	unclassified	0	0.5	0	0.7	0	0	0.1	0	0	0	0	0	0.7	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia sp.	0.3	0.3	0	0	0	0.9	0	0.5	0	0	0	0	0.8	0.8
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. 09WSH3-23	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	Lentzea albida	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavosolibacter sp. HU1-JC5	0.4	0.3	0	0.5	0.1	0	0.7	0	0.7	0	4.7	0	0.7	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Nitrospirillum	Nitrospirillum amazonense	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0
Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Tundrisphaera	Tundrisphaera lichenicola	0	0	0	0	0	0.2	0.8	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Propionibacteriales	unclassified	unclassified	unclassified	0.6	0.7	0.1	0	0	2.1	0.1	0	0	0	0	0	0.8	0.8
Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Owenweeksia sp. MEBiC09403	0.2	0	0	0	1.8	0.3	0	0	0	0	0	0.6	0	0
Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfonispora	Desulfonosporus sp. AAN04	0	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0
Acidobacteria	Blastocatellia	unclassified	unclassified	unclassified	unclassified	239.9	27.6	715.2	74.3	58.3	23.7	223.4	3.9	217.2	93.4	261	176	403.9	51.1
Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	Sandaracinus	Sandaracinus amylolyticus	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp. SCGC AAA240-K18	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Lactobacillales	unclassified	unclassified	unclassified	0.2	0	0	0	0	0	0.2	0	0	0	1	0	0	0
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. KOPRI80145	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp. x4r7	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus isronensis	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. SMCC G940	0	0	0.2	0	0	0	0	0.2	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Chromatiales	unclassified	unclassified	unclassified	0.3	0	0	0	0.4	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia endosymbiont of Mermessus sp.	0	0	0	0	0	0.3	0	0	0	0	0	0	0	1.4
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus	unclassified	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea	Flavitalea sp. CB 286474	0	0	0	0	0.7	0	0	0	0	0	0	0.7	0	0
Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira sp. enrichment culture clone 80	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Quadrisphaera sp.	0	0.3	1	0	0	0.2	0	0	0.6	0.8	0	0.8	0.8	1.2
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. enrichment culture	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter subterraneus	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. AS23	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	unclassified	unclassified	1.6	0	0	0.5	4.5	1.3	0	0	0	0	0.7	5.6	0	0
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. SOZ2-4101	0	0	0	0	0	0	0	0	0	0	0	0.7	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter sp. MDT2-37	0.6	0	0.4	0.7	0	0	0.8	1.6	0	0	0.8	0	0	0.7
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] cellobioparum	0.2	0.7	0	0.4	0.2	0.3	0	0	0.6	0	0	0	0	4.1
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Brevifollis	Brevifollis gellanilyticus	0	0	0	0	0.7	0	0	0	0	0	0	3.8	0	0
Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidihalobacter	Acidihalobacter prosperus	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium sp. WLSH-1	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp.	0.2	12.6	0.4	0	0	0.3	0.3	4.8	3.8	0.7	0	0	0	0.6
Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. P-64	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	Planococcus maitriensis	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. H45(2010)	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0.4
