phylum	class	order	family	genus	species	S18.K0010A2	S18.K0011C1	S18.K0011C2	S18.K0033C1	S18.K0033C2	S18.K0145B1	S18.K0147C2	S18.K0148A1	S18.K0154C1	S18.K0154C2	S18.K0191C1	S18.K0192B2	S18.K0192C1	S18.K0195C1
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	unclassified	1.5	1.1	0.3	2.6	3.3	6.2	0.1	0.4	0	0	2	2.4	0	1.8
Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophaga	unclassified	11.3	0.4	6.1	16.8	5.8	0	1	0.2	31.1	0	8	13.3	3	1
Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	unclassified	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Planctomycetes	Planctomycetia	Planctomycetales	Isosphaeraceae	Isosphaera	Isosphaera pallida	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium albiziae	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Steroidobacter	Steroidobacter agariperforans	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Flavisolibacter sp. BS3-3-4	1.5	4.1	0.6	26.1	0	0	2.3	0	1.9	2.8	3.5	0	0.8	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	unclassified	0.4	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. cp03.14	0	0	0	0	0	0.8	0	0	0	0	0	0	1.4	0.7
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. 'SMCC B0776'	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0
Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus terrae	2.6	0	2.9	5.1	0.7	1.3	7.3	0	1	0	3.7	0.8	1.5	0.5
Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides sp. PDD-7b-7	0	0.1	0	0	0	0	0.2	0	0.5	0	0	0	0	0
Actinobacteria	Actinobacteria	Frankiales	unclassified	unclassified	unclassified	0.8	0	1.3	1.3	0	0	12.9	0	0.8	0	0.8	0	1.4	2
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	unclassified	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. Fa4-CH09	0	0.4	0	0	0	0	0.1	0	0	0	0	0	0	0.6
Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	unclassified	0	0.2	0.3	0	0	0	0.1	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Puia	Puia dinghuensis	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas viridiflava	0	0	0	0	0	0	0	0	0.7	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix eikelboomii	0	0	0	0	0	0	0.3	0	0.7	0	0	0	0	0
Bacteroidetes	Bacteroidia	Bacteroidales	Lentimicrobiaceae	Lentimicrobium	Lentimicrobium saccharophilum	0	0	0.3	0	0	0	0.3	0	0	0	0	0	0	0
Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus aggregans	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium japonicum	4.3	1.5	4.2	2.8	6.7	6.9	4.2	0	2.7	1.5	3.7	3.6	4	3.1
Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia	unclassified	0.6	3.4	2.3	0.6	0	0.2	0.6	0.1	0	1.6	0	0	0.8	2.1
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. OF22-4	0.3	0.5	0	0.9	0.7	2.8	0.3	3.9	1.8	2.8	0	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp. WP16	1	0.3	0	0.4	1.5	2.9	0	0	0	1	1.4	0	0	5.7
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. PG9	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. N-QB-2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter lindaniclasticus	0	0.3	0.9	0	0	0	0.4	0	0	0	0.9	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Melittangium	Melittangium lichenicola	0.1	0	0	0.3	0.2	0	0.1	0	0.7	0	0.6	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	unclassified	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces xantholiticus	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium sp.	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes	Rhodoplanes sp. enrichment culture clone ANA-RAS-62	0	0	0	0	0.3	0	0.1	0	0.6	0	0	0	0	0
Streptophyta	Liliopsida	unclassified	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. VPMK33	0.5	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas taxi	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes globisporus	0	0	1.3	0	0	0.5	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium sp. BJC15-D9	0	0	0	0	0	0.3	0	0	0	1	0	0	0	0
Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromusa	unclassified	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia sp.	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Glycomycetales	Glycomycetaceae	Glycomyces	Glycomyces sp. ZZY-2013	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. r13	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium platani	0	0.6	0	0.6	0	0	0	0	0	0	0	0	0	0
Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum australe	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavisolibacter	unclassified	2.5	6.1	4.8	15.6	0.3	0.5	22.3	3.8	2.9	13.8	4.8	1.7	5.3	0.9
Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium sp. I12A-00819	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	Ureibacillus sp. R-26349	0.9	0	0.3	0.9	0.2	0	0	0	0	0	0.6	0	0	0
Actinobacteria	Actinobacteria	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella sp. L1947	0	0	0	0	1.8	0.1	2	0.3	0	0	0	3.4	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. YP6	0.2	0	0	0.4	0.4	0.9	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	unclassified	unclassified	24.7	5.8	13.1	15.3	15.9	11.5	5.7	5.5	9.7	15.3	14	24.9	15.5	13.1
Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus islandicus	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter sp.	0	0	0	0	0.3	0	0	0	0	0.9	0	0	0	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. UMAB-32	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0.4
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. C12	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus sp. URHB0062	0.3	2.5	1.5	8.1	0	0	4.1	0	1.9	2.3	1.7	0	1.5	0
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	0.2	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	unclassified	0.6	0	0	0.6	0.1	0	4.2	2.6	1.4	0	0	0	0	0
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Eremococcus	Eremococcus coleocola	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. L2129	0.3	0	0	0	0	1.8	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Racemicystis	Racemicystis crocea	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. PVC(14d)1	0	0	0	0	0	0	0	0.3	0	0.9	0	0	0	0
Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Hydrocarboniphaga	unclassified	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0
Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	Chthonomonas calidirosea	4.5	6.1	6.3	1.2	0.8	1.6	8.9	0.2	4.3	5.3	11.7	1.6	12.2	10
Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sp. cryopeg_6	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0
Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia seriata	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera sp. LOPT-10-14	0	0	0	0	0.5	0	0.3	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Marinimicrobium	Marinimicrobium sp. ABCh4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Parvibaculum	Parvibaculum lavamentivorans	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Streptosporangiales	unclassified	unclassified	unclassified	0	0	0	0	0	0.4	0.4	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas pakistanensis	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium sp. P-38	1.6	0	2.1	5.4	0.6	4.1	0.9	0	0.6	0	5.3	0.9	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter mirabilis	1.2	0	0.4	3	0	1.3	0.6	0	0	1.6	1.6	1.4	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium	Phyllobacterium sp.	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Pontibacter	unclassified	0	0	0	0.2	0	0	0	0	0.6	0	0	0	0	0
Proteobacteria	Oligoflexia	Oligoflexales	unclassified	unclassified	unclassified	0	0	0	0.4	0.4	0	0	0	0	0	0	0	0	0
Firmicutes	Thermolithobacteria	Thermolithobacterales	Thermolithobacteraceae	Thermolithobacter	Thermolithobacter ferrireducens	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces thermohalophilus	0	0	0.2	0	0	0	0.1	0	0	0	0	0	0	0
Actinobacteria	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	Rubrobacter	Rubrobacter sp. enrichment culture clone BF64A_C25	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia sp. MB03-B	0	0	0.6	0	0	0	0.1	0	0.7	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas sp. M1-33108	0	0	0	0	0	0.6	0	0.3	0	0	0.5	0.9	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. PIY1	0.4	1.4	0.5	1.2	0	0.5	0.2	0	0.7	0.7	0	0	0	0
Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus sp.	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter sp. 977	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Solirubrobacter sp. URHD0016	0.6	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	unclassified	0.3	0	0	0.4	0	0	0.2	0	0	0	0	0	0	0
Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	unclassified	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Terrimonas	Terrimonas aquatica	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Pelobacter	Pelobacter carbinolicus	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	unclassified	0.5	0	0	0	0.7	0	0	0	0	0.7	0	0.9	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. CH17	0	0	0.1	0	0	0	0	0	0.7	0.7	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. SLG210A3-11	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0
Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium sp.	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus sp. BDP-96-2_6-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia sp. t2	0	0	0	0	0	1.4	0	0.5	0	0	0	0	0	1.1
Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia isomera	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium sp. RP5	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga sp. HaTc26	29.6	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. qy21	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0
Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Owenweeksia hongkongensis	0.7	0	0.4	0	0.3	0	0	0	0	0	0	0	0	0
Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	Patulibacter brassicae	0.1	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia dura	0	0	0	0	0	0	0	0.7	0	0	0	0	0	0.5
Xanthophyceae	unclassified	unclassified	unclassified	unclassified	unclassified	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Caenimonas	Caenimonas sp. TSX9-5	1	1.5	1.2	2.1	0.5	0	7	0.3	0	4.5	2.1	7.5	0	1.2
Proteobacteria	Alphaproteobacteria	Rhodobacterales	unclassified	unclassified	unclassified	0	0	0	0	0.5	0.2	0	0	0	0	0	0	0	0
Chloroflexi	Chloroflexia	Chloroflexales	Oscillochloridaceae	Chloronema	Chloronema giganteum	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	Olivibacter soli	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
Proteobacteria	Deltaproteobacteria	Myxococcales	Archangiaceae	Archangium	Archangium sp.	1	0.4	2.1	0.7	0.1	0.2	0.2	0	6.3	0	0.7	2.1	1.2	0
Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus sp. MS-G	0	0	0	0	0	0	0.1	0	0	1	0	0	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Ferruginibacter	unclassified	0.4	0.7	1	1.3	0.8	0.5	0	0.9	0	2.9	5.5	5.9	0	0
Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. ZZY-2013	0.2	0	0.7	0	0	0	0	0	0	0	0	0	0.8	0
Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	unclassified	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Fibrella	unclassified	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus sp. Ulugqat21	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. M1Ju4	0	0.9	0	0	0	0	0	0.8	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. 779	0.9	0	0	0	0	0	0.5	0	0	0	0	0	0	0
Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	Thermobaculum sp. enrichment culture clone VanCtr100	11.9	0	2.8	10.8	0.1	2.1	0.1	0	0	0.9	10.5	2.8	0.7	0
Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Granulosicoccus	unclassified	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter vibrioides	0.2	0.4	0	0	0	0	0	0	0	0	1.6	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. SAFR-027	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	unclassified	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia sp. EECC-39	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. M2	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	Dongia sp.	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Ohtaekwangia	Ohtaekwangia kribbensis	0	0	0.2	0	1.8	2	0	0	0	0	0	5.5	0	0
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lechevalieria	unclassified	0	0	0.4	0	0	0	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas sp. M67T17	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. JFJ-Iso-Bact01	0	0.6	0	0	0.3	0	0	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	unclassified	unclassified	26.6	50.9	33.2	92.6	1.3	1.8	52.7	3.1	20.6	40.3	29.6	5.9	39.5	21.5
Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces rhizosphaerihabitans	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	Limnobacter sp. MJH49	0	0.3	0	0	0	0	0	0	24.5	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	Promicromonospora vindobonensis	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. ZM06	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	unclassified	0	0	0	0	0	0	0.7	0	0	0	0.9	0	0.7	0
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter sp. PCSM83	0	5.2	0.2	0	0	0	0	0	0	3.5	0.9	0	0	1.5
Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Steroidobacter	Steroidobacter denitrificans	0	0	0	0	2	0	0	0	0	0	0	0.8	0	0
Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	Niastella sp. RHYL-67	0	0	0	0	0	1.1	0	0	0	0	0	0	0	1.5
Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium sp. nah_5	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.9
Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter sp.	0	0	0	0	0	0	0.1	0	0	0	0	0.9	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp. HP9A2	2.1	5.2	3.1	3.4	0	0	3	0.4	4.4	1.8	4.3	0	0	0
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia hydrocarbonoxydans	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0
Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thiohalomonas	Thiohalomonas denitrificans	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Candidatus Blochmannia	Blochmannia endosymbiont of Camponotus sericeiventris	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	0	0	0	0	0	0	0	0	0	0	0.7	0	0.9	0
Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	unclassified	0	1.1	0	0.2	0	0	0	0	0.7	0	0	0	0	0
Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax sp.	0.4	0	0	0.1	0.2	0	0	0	0	0	0	0	0	0
Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Kribbella	Kribbella swartbergensis	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0
Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Blastochloris	unclassified	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0
Firmicutes	Bacilli	Bacillales	Planococcaceae	Ureibacillus	unclassified	4.1	0	1.4	0.4	0	0	0	0	0	0	1.2	0	2.7	0
Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. yy	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0
Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora sp. SNSum2	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0
